title,year,id,video_page,subtitle_page
A Farewell to Arms,1932,a-farewell-to-arms-1932,https://archive.org/details/afarewelltoarms1932,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7481/sort-7/asc-0
Fear and Desire,1953,fear-and-desire-1953,https://archive.org/details/FearAndDesire1953,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-20978/sort-7/asc-0
The Flying Deuces,1939,the-flying-deuces-1939,https://archive.org/details/TheFlyingDeuces,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-6963/sort-7/asc-0
The Front Page,1931,the-front-page-1931,https://archive.org/details/front-page-the-1931,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-37504/sort-7/asc-0
Glen or Glenda,1953,glen-or-glenda-1953,https://archive.org/details/glenorglenda_201305,
Go for Broke!,1951,go-for-broke-1951,https://archive.org/details/GoForBroke,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-56934/sort-7/asc-0
God's Little Acre,1958,god's-little-acre-1958,https://archive.org/details/gods-little-acre-1958-high-def-quality,
The Gorilla,1939,the-gorilla-1939,https://archive.org/details/PhantasmagoriaTheater-TheGorilla1939761,https://www.opensubtitles.org/en/subtitles/3572467/the-gorilla-en
The Great Flamarion,1945,the-great-flamarion-1945,https://archive.org/details/Great_Flamarion_1945,
Gulliver's Travels,1939,gulliver's-travels-1939,https://archive.org/details/Gullivers_Travels-1939,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-33167/sort-7/asc-0
Half Shot at Sunrise,1930,half-shot-at-sunrise-1930,https://archive.org/details/half_shot_at_sunrise,https://www.opensubtitles.org/en/subtitles/6935753/half-shot-at-sunrise-en
His Girl Friday,1940,his-girl-friday-1940,https://archive.org/details/HisGirlFriday1940_201505,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-5171/sort-7/asc-0
The Hitch-Hiker,1953,the-hitch-hiker-1953,https://archive.org/details/the-hitch-hiker-1953-film-noir,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-21404/sort-7/asc-0
"Hook, Line and Sinker",1930,hook-line-and-sinker-1930,https://archive.org/details/HookLineSinkerDVD,https://archive.org/details/HookLineSinkerDVD
House on Haunted Hill,1959,house-on-haunted-hill-1959,https://archive.org/details/HouseOnHauntedHill1959,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-11238/sort-7/asc-0
Indestructible Man,1956,indestructible-man-1956,https://archive.org/details/IndestructibleMan1956CrimeHorrorScienceFiction,
Inside the Lines,1930,inside-the-lines-1930,https://archive.org/details/InsideTheLines1930BettyCompsonRalphForbesMontaguLoveReginaldSharland_201410,
The Inspector General,1949,the-inspector-general-1949,https://archive.org/details/TheInspectorGeneral720p1949,https://www.opensubtitles.org/en/subtitles/5795394/the-inspector-general-en
It's a Wonderful Life,1946,it's-a-wonderful-life-1946,https://archive.org/details/its-a-wonderful-life-1946_202108,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-927/sort-7/asc-0
Jack and the Beanstalk,1952,jack-and-the-beanstalk-1952,https://archive.org/details/jackandthebeanstalk1952_202001,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-10155/sort-7/asc-0
The Jackie Robinson Story,1950,the-jackie-robinson-story-1950,https://archive.org/details/Jackie_Robinson_Story_The,https://www.opensubtitles.com/en/subtitles/the-jackie-robinson-story-1950?download=1
The Joe Louis Story,1953,the-joe-louis-story-1953,https://archive.org/details/TheJoeLouisStory,
Kansas City Confidential,1952,kansas-city-confidential-1952,https://archive.org/details/Kansas_City_Confidential_1952,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-8552/sort-7/asc-0
Kept Husbands,1931,kept-husbands-1931,https://archive.org/details/KeptHusbands,https://www.opensubtitles.org/en/subtitles/8319053/kept-husbands-en
The Lady Refuses,1931,the-lady-refuses-1931,https://archive.org/details/TheLadyRefuses1931-03-08,
A Lady to Love,1930,a-lady-to-love-1930,https://archive.org/details/a-lady-to-love-1930-full-movie,
The Last Man on Earth,1964,the-last-man-on-earth-1964,https://archive.org/details/TheLastManOnEarthHD,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-9453/sort-7/asc-0
The Last Time I Saw Paris,1954,the-last-time-i-saw-paris-1954,https://archive.org/details/cco2_TheLastTimeISawParis,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7062/sort-7/asc-0
Lawful Larceny,1930,lawful-larceny-1930,https://archive.org/details/lawfullarceny-4-k,
Leathernecking,1930,leathernecking-1930,https://archive.org/details/leather-4-k,
Letter of Introduction,1938,letter-of-introduction-1938,https://archive.org/details/LetterofIntroduction,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-53668/sort-7/asc-0
Life with Father,1947,life-with-father-1947,https://archive.org/details/LifeWithFather1947_201808,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-50362/sort-7/asc-0
The Little Princess,1939,the-little-princess-1939,https://archive.org/details/the-little-princess-1939-archive-1,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-5741/sort-7/asc-0
The Little Shop of Horrors,1960,the-little-shop-of-horrors-1960,https://archive.org/details/TheLittleShopOfHorrors1960_765,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-16369/sort-7/asc-0
Lonely Wives,1931,lonely-wives-1931,,
Love Affair,1939,love-affair-1939,https://archive.org/details/LoveAffair,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-31246/sort-7/asc-0
Love Laughs at Andy Hardy,1946,love-laughs-at-andy-hardy-1946,https://archive.org/details/andy_hardy,
The Lucky Texan,1934,the-lucky-texan-1934,https://archive.org/details/TheLuckyTexan,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-14001/sort-7/asc-0
Made for Each Other,1939,made-for-each-other-1939,https://archive.org/details/madeforeachother1939carolelombard,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-29516/sort-7/asc-0
Malice in the Palace,1949,malice-in-the-palace-1949,,
The Man from Utah,1934,the-man-from-utah-1934,https://archive.org/details/TheManFromUtah,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7671/sort-7/asc-0
